system,ReversionAccuracy,N_Reversion,IntervalAccuracy,N_Interval,CausalReasoningAccuracy,N_CausalReasoning,MultiReversionAccuracy,N_MultiReversion,IntervalMidpointAccuracy,N_IntervalMidpoint,MultiEntityJoinAccuracy,N_MultiEntityJoin,FutureFactAccuracy,N_FutureFact,TimelineReconstructionAccuracy,N_TimelineReconstruction,OverallAccuracy,N_total
A,0.5,30,0.3333,60,0.0,30,1.0,5,0.0,5,0.0,5,0.0,10,0.3333,15,0.2812,160
B,1.0,30,1.0,60,1.0,30,1.0,5,1.0,5,1.0,5,1.0,10,1.0,15,1.0,160
C,1.0,30,1.0,60,1.0,30,1.0,5,1.0,5,1.0,5,1.0,10,1.0,15,1.0,160
D,1.0,30,1.0,60,1.0,30,1.0,5,1.0,5,1.0,5,1.0,10,1.0,15,1.0,160
D_revised,1.0,30,1.0,60,1.0,30,1.0,5,1.0,5,1.0,5,1.0,10,1.0,15,1.0,160
