version,metric,comparison,mean_diff,ci_95_lo,ci_95_hi,t_stat,p_value
v1,TRS,D_vs_A,0.6242,0.6208,0.6262,365.2854203991276,7.494289069515061e-06
v1,TRS,D_vs_C,0.0,0.0,0.0,nan,nan
v1,TRS,D_revised_vs_D,0.0,0.0,0.0,nan,nan
v1,TRS,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v1,TRS,C_vs_A,0.6242,0.6208,0.6262,365.2854203991276,7.494289069515061e-06
v1,TemporalAccuracy,D_vs_A,0.9602666666666667,0.955,0.9632999999999999,363.2639583697598,7.5779274206323565e-06
v1,TemporalAccuracy,D_vs_C,0.0,0.0,0.0,nan,nan
v1,TemporalAccuracy,D_revised_vs_D,0.0,0.0,0.0,nan,nan
v1,TemporalAccuracy,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v1,TemporalAccuracy,C_vs_A,0.9602666666666667,0.955,0.9632999999999999,363.2639583697598,7.5779274206323565e-06
v2,TRS,D_vs_A,0.40633333333333327,0.40610000000000007,0.40650000000000003,3380.8976959931433,8.748546088376934e-08
v2,TRS,D_vs_C,0.0,0.0,0.0,nan,nan
v2,TRS,D_revised_vs_D,0.0,0.0,0.0,nan,nan
v2,TRS,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v2,TRS,C_vs_A,0.40633333333333327,0.40610000000000007,0.40650000000000003,3380.8976959931433,8.748546088376934e-08
v2,TemporalAccuracy,D_vs_A,0.6251333333333333,0.6248,0.6254,3544.172863407914,7.961046417908648e-08
v2,TemporalAccuracy,D_vs_C,0.0,0.0,0.0,nan,nan
v2,TemporalAccuracy,D_revised_vs_D,0.0,0.0,0.0,nan,nan
v2,TemporalAccuracy,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v2,TemporalAccuracy,C_vs_A,0.6251333333333333,0.6248,0.6254,3544.172863407914,7.961046417908648e-08
v3,TRS,D_vs_A,0.33213333333333334,0.32380000000000003,0.33749999999999997,78.63239708024986,0.00016169315159379982
v3,TRS,D_vs_C,-0.017033333333333345,-0.024599999999999955,-0.010500000000000065,-4.151454200090307,0.05341637391226938
v3,TRS,D_revised_vs_D,0.017033333333333345,0.010500000000000065,0.024599999999999955,4.151454200090307,0.05341637391226938
v3,TRS,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v3,TRS,C_vs_A,0.3491666666666667,0.34800000000000003,0.3511,358.65716893714944,7.773845474816e-06
v3,TemporalAccuracy,D_vs_A,0.2711333333333333,0.2466,0.2891,21.348346044103074,0.0021869810565104757
v3,TemporalAccuracy,D_vs_C,-0.04856666666666668,-0.07000000000000006,-0.03009999999999996,-4.182001615155747,0.05269923879724269
v3,TemporalAccuracy,D_revised_vs_D,0.04856666666666668,0.03009999999999996,0.07000000000000006,4.182001615155747,0.05269923879724269
v3,TemporalAccuracy,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v3,TemporalAccuracy,C_vs_A,0.31970000000000004,0.31660000000000005,0.32330000000000003,163.93075588698795,3.720958931864174e-05
v4,TRS,D_vs_A,0.26940000000000003,0.25310000000000005,0.2883,26.29784516685561,0.0014428425857228408
v4,TRS,D_vs_C,-0.034499999999999996,-0.04799999999999999,-0.027200000000000002,-5.105464839187219,0.03628903756840303
v4,TRS,D_revised_vs_D,0.034499999999999996,0.027200000000000002,0.04799999999999999,5.105464839187219,0.03628903756840303
v4,TRS,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v4,TRS,C_vs_A,0.3039,0.28140000000000004,0.3155,27.008976681060123,0.0013680181023879418
v4,TemporalAccuracy,D_vs_A,0.09383333333333332,0.08499999999999996,0.10099999999999998,19.992716202030408,0.002492472252505125
v4,TemporalAccuracy,D_vs_C,-0.09849999999999999,-0.137,-0.07750000000000001,-5.109849597246601,0.03623012733028723
v4,TemporalAccuracy,D_revised_vs_D,0.09849999999999999,0.07750000000000001,0.137,5.109849597246601,0.03623012733028723
v4,TemporalAccuracy,D_revised_vs_C,0.0,0.0,0.0,nan,nan
v4,TemporalAccuracy,C_vs_A,0.19233333333333333,0.16249999999999998,0.238,8.294434535461551,0.01422595262431424
